id,property_id,property_name,image,description,price,latitude,longitude,address,category,status,user_id,createdAt,updatedAt
64d9a6f41b1c4f7e,64d9a6f41b1c4f7f,Luxury Apartment,https://example.com/image1.jpg,"A beautiful luxury apartment in the city center.",2500,9.03,38.74,"Piassa, Addis Ababa",House,true,64d9a6f41b1c4fa1,2024-08-01T12:00:00Z,2024-08-10T12:00:00Z
64d9a6f41b1c4f80,64d9a6f41b1c4f81,Industrial Machinery,https://example.com/image2.jpg,"Heavy-duty industrial machinery for large-scale operations.",1800,9.04,38.72,"Legehar, Addis Ababa",Machinery,true,64d9a6f41b1c4fa2,2024-08-03T14:00:00Z,2024-08-12T15:00:00Z
64d9a6f41b1c4f82,64d9a6f41b1c4f83,Designer Clothing,https://example.com/image3.jpg,"High-end designer clothing available for purchase.",100,9.05,38.75,"Bole, Addis Ababa",Cloth,true,64d9a6f41b1c4fa3,2024-08-05T10:00:00Z,2024-08-13T11:00:00Z
64d9a6f41b1c4f84,64d9a6f41b1c4f85,Used Car,https://example.com/image4.jpg,"Well-maintained used car at an affordable price.",1200,9.06,38.76,"Piassa, Addis Ababa",Vehicle,true,64d9a6f41b1c4fa4,2024-08-07T08:00:00Z,2024-08-14T09:00:00Z
64d9a6f41b1c4f86,64d9a6f41b1c4f87,Electronics Shop,https://example.com/image5.jpg,"Latest electronics including smartphones and laptops.",800,9.07,38.77,"Megenagna, Addis Ababa",Electronics,true,64d9a6f41b1c4fa5,2024-08-09T12:00:00Z,2024-08-15T12:00:00Z
64d9a6f41b1c4f88,64d9a6f41b1c4f89,Cozy Cafe,https://example.com/image6.jpg,"A cozy cafe with a relaxing atmosphere.",300,9.08,38.78,"Bole, Addis Ababa",Others,true,64d9a6f41b1c4fa6,2024-08-11T14:00:00Z,2024-08-16T15:00:00Z
64d9a6f41b1c4f8a,64d9a6f41b1c4f8b,House for Rent,https://example.com/image7.jpg,"Spacious house available for long-term rent.",2200,9.09,38.79,"Mexico, Addis Ababa",House,true,64d9a6f41b1c4fa7,2024-08-13T08:00:00Z,2024-08-17T09:00:00Z
64d9a6f41b1c4f8c,64d9a6f41b1c4f8d,Gaming Console,https://example.com/image8.jpg,"Latest gaming console with high-end graphics.",600,9.10,38.80,"Lideta, Addis Ababa",Electronics,true,64d9a6f41b1c4fa8,2024-08-15T12:00:00Z,2024-08-18T12:00:00Z
64d9a6f41b1c4f8e,64d9a6f41b1c4f8f,Furniture Set,https://example.com/image9.jpg,"Modern furniture set for living room.",1500,9.11,38.81,"Jemo, Addis Ababa",Others,true,64d9a6f41b1c4fa9,2024-08-17T14:00:00Z,2024-08-19T15:00:00Z
64d9a6f41b1c4f90,64d9a6f41b1c4f91,Home Appliances,https://example.com/image10.jpg,"Home appliances including fridge, washing machine.",1000,9.12,38.82,"Piassa, Addis Ababa",Electronics,true,64d9a6f41b1c4faa,2024-08-19T08:00:00Z,2024-08-20T09:00:00Z
64d9a6f41b1c4f92,64d9a6f41b1c4f93,Bookstore,https://example.com/image11.jpg,"A wide collection of books from various genres.",200,9.13,38.83,"Megenagna, Addis Ababa",Others,true,64d9a6f41b1c4fab,2024-08-21T12:00:00Z,2024-08-22T12:00:00Z
64d9a6f41b1c4f94,64d9a6f41b1c4f95,Boutique Hotel,https://example.com/image12.jpg,"Luxurious boutique hotel with top-notch amenities.",3500,9.14,38.84,"Lideta, Addis Ababa",House,true,64d9a6f41b1c4fac,2024-08-23T14:00:00Z,2024-08-24T15:00:00Z
64d9a6f41b1c4f96,64d9a6f41b1c4f97,Motorbike,https://example.com/image13.jpg,"Well-maintained motorbike for sale.",700,9.15,38.85,"Jemo, Addis Ababa",Vehicle,true,64d9a6f41b1c4fad,2024-08-25T08:00:00Z,2024-08-26T09:00:00Z
64d9a6f41b1c4f98,64d9a6f41b1c4f99,Jewelry Store,https://example.com/image14.jpg,"Exclusive collection of gold and diamond jewelry.",5000,9.16,38.86,"Bole, Addis Ababa",Vehicle,true,64d9a6f41b1c4fae,2024-08-27T12:00:00Z,2024-08-28T12:00:00Z
64d9a6f41b1c4f9a,64d9a6f41b1c4f9b,Restaurant,https://example.com/image15.jpg,"Fine dining restaurant with a variety of cuisines.",2500,9.17,38.87,"Mexico, Addis Ababa",Others,true,64d9a6f41b1c4faf,2024-08-29T14:00:00Z,2024-08-30T15:00:00Z
64d9a6f41b1c4f9c,64d9a6f41b1c4f9d,Art Gallery,https://example.com/image16.jpg,"Contemporary art gallery showcasing local artists.",1500,9.18,38.88,"Lideta, Addis Ababa",Electronics,true,64d9a6f41b1c4fb0,2024-08-31T08:00:00Z,2024-09-01T09:00:00Z
64d9a6f41b1c4f9e,64d9a6f41b1c4f9f,Music Instruments,https://example.com/image17.jpg,"Wide range of musical instruments for all ages.",800,9.19,38.89,"Piassa, Addis Ababa",Others,true,64d9a6f41b1c4fb1,2024-09-02T12:00:00Z,2024-09-03T12:00:00Z
64d9a6f41b1c4fa0,64d9a6f41b1c4fa1,Pet Store,https://example.com/image18.jpg,"All kinds of pets and pet supplies available.",500,9.20,38.90,"Megenagna, Addis Ababa",House,true,64d9a6f41b1c4fb2,2024-09-04T14:00:00Z,2024-09-05T15:00:00Z
64d9a6f41b1c4fa2,64d9a6f41b1c4fa3,Spa and Wellness,https://example.com/image19.jpg,"Relaxing spa and wellness center for rejuvenation.",1000,9.21,38.91,"Jemo, Addis Ababa",House,true,64d9a6f41b1c4fb3,2024-09-06T08:00:00Z,2024-09-07T09:00:00Z
64d9a6f41b1c4fa4,64d9a6f41b1c4fa5,Fine Wines,https://example.com/image20.jpg,"Exclusive collection of fine wines and spirits.",3000,9.22,38.92,"Bole, Addis Ababa",Others,true,64d9a6f41b1c4fb4,2024-09-08T12:00:00Z,2024-09-09T12:00:00Z
64d9a6f41b1c4fa6,64d9a6f41b1c4fa7,Office Space,https://example.com/image21.jpg,"Modern office space for lease in a prime location.",4000,9.23,38.93,"Mexico, Addis Ababa",Electronics,true,64d9a6f41b1c4fb5,2024-09-10T14:00:00Z,2024-09-11T15:00:00Z
64d9a6f41b1c4fa8,64d9a6f41b1c4fa9,Camping Gear,https://example.com/image22.jpg,"High-quality camping gear for outdoor adventures.",200,9.24,38.94,"Lideta, Addis Ababa",Vehicle,true,64d9a6f41b1c4fb6,2024-09-12T08:00:00Z,2024-09-13T09:00:00Z
64d9a6f41b1c4faa,64d9a6f41b1c4fab,Photography Equipment,https://example.com/image23.jpg,"Professional photography equipment for sale.",1500,9.25,38.95,"Piassa, Addis Ababa",Others,true,64d9a6f41b1c4fb7,2024-09-14T12:00:00Z,2024-09-15T12:00:00Z
64d9a6f41b1c4fac,64d9a6f41b1c4fad,Kitchen Appliances,https://example.com/image24.jpg,"Essential kitchen appliances for home cooking.",1000,9.26,38.96,"Megenagna, Addis Ababa",Electronics,true,64d9a6f41b1c4fb8,2024-09-16T14:00:00Z,2024-09-17T15:00:00Z
64d9a6f41b1c4fae,64d9a6f41b1c4faf,Furniture Store,https://example.com/image25.jpg,"Wide range of furniture for different needs.",2000,9.27,38.97,"Jemo, Addis Ababa",House,true,64d9a6f41b1c4fb9,2024-09-18T08:00:00Z,2024-09-19T09:00:00Z
64d9a6f41b1c4fb0,64d9a6f41b1c4fb1,Antique Shop,https://example.com/image26.jpg,"Exclusive antiques and vintage items for collectors.",3000,9.28,38.98,"Bole, Addis Ababa",Vehicle,true,64d9a6f41b1c4fba,2024-09-20T12:00:00Z,2024-09-21T12:00:00Z
64d9a6f41b1c4fb2,64d9a6f41b1c4fb3,Health Supplements,https://example.com/image27.jpg,"High-quality health supplements and vitamins.",500,9.29,38.99,"Mexico, Addis Ababa",Others,true,64d9a6f41b1c4fbb,2024-09-22T14:00:00Z,2024-09-23T15:00:00Z
64d9a6f41b1c4fb4,64d9a6f41b1c4fb5,Tech Gadgets,https://example.com/image28.jpg,"Latest tech gadgets and innovations.",1200,9.30,39.00,"Lideta, Addis Ababa",Electronics,true,64d9a6f41b1c4fbc,2024-09-24T08:00:00Z,2024-09-25T09:00:00Z
64d9a6f41b1c4fb6,64d9a6f41b1c4fb7,Organic Foods,https://example.com/image29.jpg,"Fresh organic foods from local farms.",300,9.31,39.01,"Piassa, Addis Ababa",Others,true,64d9a6f41b1c4fbd,2024-09-26T12:00:00Z,2024-09-27T12:00:00Z
64d9a6f41b1c4fb8,64d9a6f41b1c4fb9,Boat Rental,https://example.com/image30.jpg,"Boat rental services for lakes and rivers.",1500,9.32,39.02,"Megenagna, Addis Ababa",Vehicle,true,64d9a6f41b1c4fbe,2024-09-28T14:00:00Z,2024-09-29T15:00:00Z
64d9a6f41b1c4fdd,64d9a6f41b1c4fde,High Fashion Dress,https://example.com/image41.jpg,"Elegant high fashion dress suitable for special occasions.",800,9.43,39.13,"Bole, Addis Ababa",Cloth,true,64d9a6f41b1c4fdf,2024-10-20T12:00:00Z,2024-10-21T12:00:00Z
64d9a6f41b1c4fe0,64d9a6f41b1c4fe1,Leather Jacket,https://example.com/image42.jpg,"Stylish leather jacket with premium finish.",1200,9.44,39.14,"Megenagna, Addis Ababa",Cloth,true,64d9a6f41b1c4fe2,2024-10-22T08:00:00Z,2024-10-23T09:00:00Z
64d9a6f41b1c4fe3,64d9a6f41b1c4fe4,Formal Suit,https://example.com/image43.jpg,"High-quality formal suit perfect for business events.",1500,9.45,39.15,"Lideta, Addis Ababa",Cloth,true,64d9a6f41b1c4fe5,2024-10-24T14:00:00Z,2024-10-25T15:00:00Z
64d9a6f41b1c4fe6,64d9a6f41b1c4fe7,Silk Scarf,https://example.com/image44.jpg,"Luxury silk scarf with intricate designs.",300,9.46,39.16,"Piassa, Addis Ababa",Cloth,true,64d9a6f41b1c4fe8,2024-10-26T12:00:00Z,2024-10-27T12:00:00Z
